Model,RMSE,MAE,sMAPE,Corr,R²
Random Walk,1.0,1.0,1.0,0.64,0.282
AR(1),0.883,1.073,1.568,0.682,0.443
Rolling Avg (4),0.853,0.937,1.173,0.709,0.476
Rolling Avg (8),0.865,0.991,1.33,0.701,0.459
Rolling Avg (12),0.889,1.041,1.418,0.683,0.429
GBM (lags=1),0.854,1.005,1.477,0.698,0.477
GBM (lags=2),0.842,0.987,1.487,0.709,0.492
GBM (lags=5),0.824,0.958,1.494,0.719,0.511
GBM (lags=8),0.825,0.959,1.492,0.72,0.51
Quantile GBM,0.843,0.904,1.527,0.708,0.488
LSTM (seq=2),0.863,1.047,1.531,0.692,0.467
LSTM (seq=5),0.833,0.996,1.503,0.716,0.503
LSTM (seq=8),0.835,0.997,1.502,0.715,0.499
Hurdle (lags=2),0.846,0.981,1.508,0.702,0.487
Hurdle (lags=5),0.829,0.961,1.501,0.715,0.506
Hurdle (lags=8),0.834,0.986,1.496,0.716,0.5
Z&T Bayesian DL-DLM,0.737,0.907,0.804,0.639,
